노블레스 테슬 스툴		2		3																				8	4				1		9			12										2				7																				5			4	8																			57	5,772	2*2	253	63.25	57,727	115,454	57,727
노블레스 화이트 로즈 액자		48		12								10		30			24							16	12				12						20							80	50	10							12		12			4	4		4																14	30	52		16	50											389	38,999	4*5	895	44.75	389,995	779,990	389,995
동화책																								3					2																																							1											1												-	90	-	-	-	905	1,810	905
라이더 머플러 원피스				6																									6																						2	2	2	2														6			12																				-	1,806	-	-	-	18,061	36,122	18,061
라이더 머플러 자켓				6																									6																						2	2	2	2														6			12																				-	1,806	-	-	-	18,061	36,122	18,061
레이스 패브릭 소파		2		4																				4	4				2																																							3			6																				8	859	3*3	145	16.11	8,590	17,180	8,590
로얄 노블레스 스툴				16													25							6	20		12		10		6			4								10		2				3					3																		3	6												2			20				140	14,071	4*2	473	59.13	140,716	281,432	140,716
리본 라벨 반짇고리함		2		6																									7																																										5								2												4	495	2*2	74	18.50	4,957	9,914	4,957
링 펜던트 목걸이																																											4				1																									3				4															-	600	-	-	-	6,001	12,002	6,001
모던레더 1인 소파		2		4																				4	4				6																																							7			6	5																			18	1,839	3*3	214	23.78	18,396	36,792	18,396
모던레더 2인 소파		2		4																				4	8				6																																							7			6	11																			35	3,560	3*3	214	23.78	35,608	71,216	35,608
모던레더 리프 액자																								8																				2																								5							2																3	325	3*3	79	8.78	3,250	6,500	3,250
모던레더 바 스툴		2		3										3										4					1						2								1	1																								3				3				1															10	1,067	2*2	112	28.00	10,673	21,346	10,673
모던레더 사이드 테이블																								3	6																			6			2																									10								3											20	2,044	3*3	224	24.89	20,444	40,888	20,444
모던레더 서류 가방																																																																				3																								98	2*2	35	8.75	981	1,962	981
모던레더 스퀘어 스툴																								4	4				1		4													2																								1				5																			11	1,160	3*3	157	17.44	11,604	23,208	11,604
모던레더 스티치 슬리퍼		4		2																									2																																							1																								91	2*2	33	8.25	919	1,838	919
모던레더 우드 테이블																								6																																												7																							2	252	3*3	82	9.11	2,521	5,042	2,521
모던레더 우산 스탠드		6		3																																								1																								3																							1	196	2*2	47	11.75	1,969	3,938	1,969
모던레더 크로스 백																																															2																					1			1	5																			8	823	2*2	97	24.25	8,231	16,462	8,231
모던레더 탁상 시계																																												4																											2																				3	346	2*2	62	15.50	3,461	6,922	3,461
별님 가죽 팔찌																																												2																								1			3																				4	407	-	-	-	4,074	8,148	4,074
별님 연금술사 로브																								6										12													10	10			5	5	5	5	2																	10																			76	7,676	-	-	-	76,761	153,522	76,761
별님 연금술사 원피스																								6										12													10	10			5	5	5	5	2																	10																			76	7,676	-	-	-	76,761	153,522	76,761
별빛 숲속 캠핑장 작은 여행 가방				32													50							12	40		24		20		12			26								20		4				12					6															10			6	12												4			40				449	44,981	3*3	685	76.11	449,810	899,620	449,810
붉은 진주 팔찌													3																															4													1											2			6												5		3						26	2,633	-	-	-	26,335	52,670	26,335
빨간 리본 여행용 가방		2		1																																																																3																							1	118	2*2	40	10.00	1,182	2,364	1,182
앤틱 벽걸이 시계																									2																			4			3																								2	6																			14	1,489	3*4	185	15.42	14,896	29,792	14,896
앨리스 키친 격자 매트				9													10												3		3																																								3	3																			19	1,961	7*2	219	15.64	19,618	39,236	19,618
연금술 입문서																		3						10																		3	3																									3			2																				8	881	2*2	111	27.75	8,816	17,632	8,816
올리브 폼폼 미니스툴																								4	4				1		9													2				4																				1				8																			25	2,581	2*2	171	42.75	25,815	51,630	25,815
원트리 화이트 쿠션 체어				7																				6	4				7		3			4										2				3																								3												2							28	2,825	2*2	190	47.50	28,259	56,518	28,259
초록잎 쿠션 1인 소파																								4	4	10			1		9													2				4																				1			4	12																			60	6,047	3*3	398	44.22	60,470	120,940	60,470
패브릭 쿠션 의자		2		3																				4					1																																							3																							1	188	2*2	48	12.00	1,883	3,766	1,883
포레스트 쿠션 소파		2		4																				8	4				6					8														5																				7			6	11																			47	4,795	3*3	361	40.11	47,955	95,910	47,955
화이트엔젤 원내 알림판														30			18	27						180		8									20							87	61	10		18	24	8			12		6									4						75			18				4	16				4		9	15	25							558	55,815	4*5	1,095	54.75	558,154	1,116,308	558,154
화이트엔젤 포버튼 스툴																6			6					10	8			12	6		18	4		4						6			2	6				8																				6			2	16				2															148	14,899	2*2	302	75.50	148,994	297,988	148,994
힐링 스파 안마 의자				230				36		30		20		66	6	24	76	24	8				6	56	196	108	68	80	88	48			20	64	44					24		52	170	66		12	18	34	4	4	12											6	12			5	10	48							16	58	72			50	6			14		80					4,005	400,580	3*3	3,034	337.11	4,005,801	8,011,602	4,005,801
힐링 스파 앤틱 레더 벽지		20						32				16		78		54	48	33	12					349	80	88	36	56				10	16	34	52	18				54		49	281	100		130	120	30	4	12		6		6				4					6					113			19			12	22	174	52			28		3	5	145		200					4,502	450,275	-	300	-	4,502,758	9,005,516	4,502,758
