컵홀더 수저통																									1																		3	1			3																																												7	732	2*2	84	21.00	7,327	14,654	7,327
클래식 철제 난로																									3																			10																																															6	629	3*3	128	14.22	6,299	12,598	6,299
통통비치 아이스 박스															4		5																									9	2	2																																2															9	987	3*3	157	17.44	9,877	19,754	9,877
통통비치 아이스 와인통									4																																	2	1	3																																1															5	546	2*2	82	20.50	5,463	10,926	5,463
통통비치 조개 의자																									8																					6																																				8									12	1,240	3*3	172	19.11	12,400	24,800	12,400
통통비치 조개 테이블																																											3			10																														3						10									13	1,367	3*3	185	20.56	13,671	27,342	13,671
통통비치 철제 야외 의자														3										2										4	2								1	6																																1															12	1,240	2*2	120	30.00	12,072	24,144	12,072
통통비치 해변 파라솔	3			32																				11	3				12															10																																						2									16	1,627	5*5	295	11.80	16,276	32,552	16,276
티타임 투도어 발코니 창	24							24	12							30								76	64	32		84												6			2	38		10	4	4	2																										20	2	8	4	4	36		5		16							333	33,319	9*10	2,369	26.32	333,192	666,384	333,192
팬 식기 우드 행거																									5																			6																																															7	790	4*4	147	9.19	7,904	15,808	7,904
포포레스랜드 관람차 모형	2	2		494					6			70		153	2	117	38	6						129	138	73	43		204	27	63	30		278	102					96	4	6	241	162		12	75	74	16	52									9			30						12			12				54	258	6		10	82		6		30			30				5,729	572,977	4*3	3,855	321.25	5,729,771	11,459,542	5,729,771
포포레스랜드 그린 범퍼카	10	312		198					60			65		294		141	120		24					104	238		120		98	36					196	36				141	76	248	261	65				86	10	66				5									22							60				24	91	294	338	12	154	325											5,077	507,782	3*3	3,075	341.67	5,077,820	10,155,640	5,077,820
포포레스랜드 미니 회전목마	6	8		105						5				72	6	54	63							118	194	65	137		42	111	5	24		64	48					54			152	136			20	24	6	24					1			2				18	7			9	33	70			66				2	135	130			2				5							6,454	645,425	4*4	2,993	187.06	6,454,256	12,908,512	6,454,256
포포레스랜드 옐로우 범퍼카	10	312		198					60			65		294		141	120		24					104	238		120		98	36					196	36				141	76	248	261	65				86	10	66		5											22							60				24	91	294	338	12	154	325											5,077	507,782	3*3	3,075	341.67	5,077,820	10,155,640	5,077,820
포포레스랜드 캔디 크레인 머신	2		3	180				50			4	26		3	8	114	12	15	8	10				3	47			118		10			30		2					114		43	148	289		6	9	80	20														45						4							97		14													1,711	171,120	3*2	2,593	432.17	1,711,203	3,422,406	1,711,203
포포레스랜드 핑크 범퍼카	10	312		198					60			65		294		141	120		24					104	238		120		98	36					196	36				141	76	248	261	65				86	10	66	5												22							60				24	91	294	338	12	154	325											5,077	507,782	3*3	3,075	341.67	5,077,820	10,155,640	5,077,820
포포레스랜드 하늘을 나는 탐험선	6	6		243						3				57	6	96	21	5	8					72	99	60	44		65	48				36	38	12	8			96		13	166	135		7	25	52	16	12	3												3			3	10	43			8			8	17	125	126			4		2	20								12,248	1,224,873	6*8	4,780	99.58	12,248,738	24,497,476	12,248,738
프라이팬									3								2																											4																																															-	488	-	-	-	4,881	9,762	4,881
화이트엔젤 레이스 스크린										5				3										10		4						8		8	2								13	1				4							1																4				2	4				2				5							186	18,660	5*1	372	74.40	186,603	373,206	186,603
화이트엔젤 로고 보드									9					24			12								12										16					6		40	8	8		2							6	6									4													8															481	48,179	4*4	927	57.94	481,797	963,594	481,797
화이트엔젤 메디컬 차트														33			18							30											22							60	11	18								6		12									7					10								11															177	17,751	2*3	393	65.50	177,510	355,020	177,510
화이트엔젤 주사기 스텐밧드														12		12								3	6										8					12			18	18			2		3						1								3			6	2					10				18				3											207	20,751	2*3	407	67.83	207,514	415,028	207,514
힐링 스파 마운트 수건걸이				21				32	24	10		16		84		54		24	12					284	16	88		56	7				16	24	56	18				54	16	6	322	112		124	112	36	4	16													20					80			8			12	12	238	52			12				140		200					4,370	437,075	4*4	3,639	227.44	4,370,759	8,741,518	4,370,759
