바닐라 아포가토								4				3						3	2									14					4									5	3																																																-	1,926	-	-	6	오둥나무 4	60	14,691	19,267	38,534	19,267
바닐라 케이크팝	4	4						58				29																103					34									10																																																	-	11,258	-	-	4	레몬 3	70	109,863	112,586	225,172	112,586
바삭한 블루베리 파이	5																							2																																																						1													-	19	-	-	2	묘목 2	4	33	197	394	197
버터																												2																																																															-	5	-	-	-	-	-	-	51	102	51
베리베리 타르트	1	4																																																																												1													-	12	-	-	2	나무넝쿨 1	1		127	254	127
베이커리 스콘 세트	2	2					8		4															1				10																																																															-	6,141	-	-	4	광천수 4	20	3,819	5,299	10,598	5,299
봄을 닮은 스트로베리 케이크		10						4																1	1			10															1	1																																															-	495	-	-	4	양가죽 3	20	3,902	4,958	9,916	4,958
비엔나커피								10				2						3										24					2									3	3																																																-	1,681	-	-	4	알루미늄 금속 2	50	12,107	16,811	33,622	16,811
비프스튜			3			3																																				2																											4																						-	295	-	-	5	단풍나무 2	20	1,901	2,955	5,910	2,955
빵	1																																																																																										-		-	-	-	-	-	-	8	16	8
사과 주스														8																			5									1																																																	-	106	-	-	2	흙 1	20	506	1,066	2,132	1,066
사과 카레 라이스	5					3								6																1																																																													-	97	-	-	3	광천수 1	20	372	972	1,944	972
사과 프렌치 토스트	3	3						2				2		20			2						3		6			7					2											12																																															-	2,826	-	-	6	벨벳천 2	70		28,265	56,530	28,265
새우튀김									6															5												5																																																							-	681	-	-	4	토끼털 2	30	5,757	6,811	13,622	6,811
샌드위치	1		1																									1																																																															-	8	-	-	2	씨앗 2	1		80	160	80
생크림								2																				5																																																															-	95	-	-	-	-	-	-	953	1,906	953
설탕								2																																																																																			-	61	-	-	-	-	-	-	613	1,226	613
소고기 그라탕			4																									9																																									2																						-	121	-	-	4	흙 2	15	346	1,216	2,432	1,216
숙성 등심 스테이크			2																																																																		3	1																					-	156	-	-	4	철 2	15	600	1,564	3,128	1,564
슈가 체리츄								6														5																				3																																																	-	823	-	-	3	은 2	50	6,278	8,230	16,460	8,230
스위트 바닐라 아이스크림								4				3																10					4									2																																																	-	798	-	-	5	금 3	50	4,737	7,981	15,962	7,981
식빵	1																											1																																																															-	3	-	-	-	-	-	-	32	64	32
아메리카노																		3																								3	3																																																-	427	-	-	3	단풍나무 3	30	2,869	4,270	8,540	4,270
아스파라거스 파스타	3																											2																																										3																					-	125	-	-	5	소고기 2	15	348	1,250	2,500	1,250
아이스 바닐라 라떼								2				2					2	3										4					2									5	3																																																-	1,559	-	-	4	레몬 2	50	13,694	15,596	31,192	15,596
아이스 아메리카노																		3																								5	3																																																-	676	-	-	3	석회석 2	30	5,269	6,765	13,530	6,765
아일랜드 양고기 스튜			20			20																			4																	10		8																									20					7																	-	4,994	-	-	4	별빛목재 3	70	45,066	49,946	99,892	49,946
애플파이	1													1																																																																													-	3	-	-	2	묘목 1	1		39	78	39
양갈비 그릴 스테이크																									12	4																																												11			10	6							6										-	5,162	-	-	4	흰산호 6	60	49,764	51,628	103,256	51,628
얼음																																										1																																																	-	36	-	-	-	-	-	-	364	728	364
에그 캐비어																								1						3										3			1	1	8	1																																													-	1,421	-	-	5	금 2	50	11,817	14,213	28,426	14,213
연어 샐러드			5								3													1														5					1																																																-	666	-	-	5	소금 3	40	4,793	6,668	13,336	6,668
연어 플렛브레드	40	48	50	40			32		16		40			54	41	6	25						12	127				72	8	16					20			30		6			37	32			12			4																		8					15			12															-	50,065	-	-	4	알루미늄 원석 4	70	495,485	500,653	1,001,306	500,653
옐로썸머 레모네이드																	2						5																			18	3	6																																1															23	2,304	173	28.83	-	-	-	-	23,047	46,094	23,047
오렌지 에이드															2																											2																																																	-	110	-	-	3	자갈 3	15	812	1,106	2,212	1,106
오복 아이스티															5	3																										1																																							3										-	266	-	-	2	철 3	20	1,404	2,665	5,330	2,665
옥수수 스프							3																	1				4															1																																2																-	182	-	-	4	단풍나무 1	20	1,142	1,829	3,658	1,829
유기농 거위 사료											2							4																			1																																																						-	423	-	-	-	-	-	-	4,231	8,462	4,231
유러피안 로얄골드 홍차세트															3									2																		3	3	2																																					3										-	732	-	-	4	소금 2	30	6,012	7,322	14,644	7,322
진한 캬라멜 스프레드																												2					1																																																										-	15	-	-	2	블루베리 1	3	5	150	300	150
참치 통조림																																							3					1	2	1																																													-	626	-	-	5	누에고치 2	40	4,579	6,261	12,522	6,261
청포도 에이드								4	6			4					4						6					8					4									14	2	4																																2					6										-	4,306	-	-	6	알루미늄 원석 3	70	38,891	43,062	86,124	43,062
초밥 세트																									2					5						5		5	5																																																				-	1,264	-	-	3	상어 2	5	10,853	12,647	25,294	12,647
초코바나나 크레프	4							8											6	4								32																																																															-	1,449	-	-	4	연어 3	70	12,244	14,490	28,980	14,490
초콜릿																			2									4																																																															-	156	-	-	-	-	-	-	1,565	3,130	1,565
초콜릿베리 무스 케이크	1	4																	8			2		1				16															1																																			1													-	1,135	-	-	5	고래 2	50	8,899	11,359	22,718	11,359
치즈																												3																																																															-	8	-	-	-	-	-	-	81	162	81
치즈 나초							5																					15																	2																																														-	335	-	-	6	철 3	20	1,937	3,358	6,716	3,358
칠리 새우			7																																	6							2		3	1																																													-	767	-	-	5	소가죽 3	40	5,768	7,670	15,340	7,670
캐러멜마키아토								10										3										12					6									3	3																																																-	1,154	-	-	4	오동나무 판자 2	50	5,678	11,547	23,094	11,547
캐비어																																								3				1	8	1																																													-	940	-	-	4	체리 2	50	7,433	9,401	18,802	9,401
커스터드 푸딩								16				6																25		5			6																																																										-	2,187	-	-	4	바나나 3	70	19,520	21,871	43,742	21,871
코코넛 과일 젤리							3	22							8	5	10			4	10																					26	4	4																																4					12										-	4,177	-	-	3	금 3	70	38,415	41,779	83,558	41,779
코코넛 빙수							6	44							16	10	20		12	8	23	5						24														57	8	8																																8					24										-	3,241	-	-	4	오동나무 3	70	28,749	132,411	264,822	132,411
코코넛 오일									6												5							5															1	1																																1															-	959	-	-	3	고래 2	70	6,136	9,596	19,192	9,596
코코넛 주스								6							4		5				5																					13	2	2																																2					6										-	2,345	-	-	3	상어 2	70	21,464	23,458	46,916	23,458
콩가루				9					45				7				12				12			12	39				9												18		29	29		30																														5	24					9									17	1,738	-	-	-	-	-	-	17,380	34,760	17,380
크렘 브륄레								16				6								5					1			25		5			6										9	1		3	3																															7													-	5,210	-	-	4	호두나무 2	70	33,364	52,106	104,212	52,106
크리미 녹차 라떼								12				2			5	3									1			29					2									1		1																																					9										-	1,949	-	-	5	거위털 2	60	8,367	19,498	38,996	19,498
토마토 토르텔리니 스프	5		5																					1																			1																										2																						-	170	-	-	5	흙 3	20	460	1,700	3,400	1,700
톡톡팡팡 탄산수																																										5	1	2																																1															-	392	-	-	3	고무 2	30	3,033	3,923	7,846	3,923
파티용 두툼 로스트 비프									4					9																					6							2	4	9																									10							4					4										29	2,914	233	38.83	-	-	-	-	29,143	58,286	29,143
팝콘							5																	5																																																																			-	199	-	-	4	찻잎 2	20	1,231	1,997	3,994	1,997
포도씨유									3																																																																																		-	140	-	-	-	-	-	-	1,404	2,808	1,404
포테이토 피자	2		3			3																						6																																																															-	96	-	-	5	양가죽 2	15	154	968	1,936	968
포포레스랜드 아이스크림 츄러스	23	16	3		3			248	6		4	134				6							12					484		13			144							6		44	8	2					2																				4							8															-	19,961	-	-	3	사탕수수 3	70	198,099	199,612	399,224	199,612
포포레스랜드 톡톡팡팡 음료수와 치킨								24	12						16		20				20			10	6											10						62	10	12																										3			5			10					27										-	18,908	-	-	4	닭고기 3	70	185,915	189,085	378,170	189,085
포포레스랜드 폭신폭신 솜사탕	8	8		30	6		20	158	8			58		51	16	3	25				15	10	13	81	2			244	10				68		30					3		79	57	44			15	6		2																		2								28					18										-	19,823	-	-	3	오동나무 3	70	194,612	198,234	396,468	198,234
포포레스랜드 핫도그 세트	80	96	120	104		20	64		38		80			144	82	12	50				5		24	278	4			149	24	32					64			60		12		10	111	85			36			8																		16	20				30	7		37															-	23,857	-	-	3	토끼털 2	70	237,156	238,570	477,140	238,570
피치 베리 무스컵	4							4	2							4												14																																																															-	460	-	-	4	광천수 3	20	3,408	4,608	9,216	4,608
허니 로얄 밀크티								4				4		3	6									4				14					4		2							6	7	9			8																													1					6										55	5,521	197	49.25	-	-	-	-	55,214	110,428	55,214
허니로얄 크림 밀푀유	5	20						16				14																36					16									4	6			3																																5													-	5,362	-	-	5	별빛목재 3	70	48,709	53,629	107,258	53,629
화이트 초코 마들렌								12											8				12					36		10													10			2																														6															-	4,619	-	-	5	백금 원석 3	60	41,877	46,199	92,398	46,199
후레쉬 치킨 샐러드			5								5				5																																																										3																		-	848	-	-	4	은 3	50	5,825	8,483	16,966	8,483
후르츠 생크림 3단 케이크	5	20						20																				50															6			3																																5													21	2,138	167	41.75	-	-	-	-	21,380	42,760	21,380
